id,word,simple_word,kinds,num_defs,def_freq,wiki_freq,crea_freq,ngram_freq,afi,commonness
003Ov93,a2,a,prep,22,19940,2000412.0,21375.03,163693548.0,a,4
00BpaTR,ababillarse,ababillarse,verb,1,0,1.0,,3.0,a.ba.bi.ˈʝaɾ.se,0
00M0KZi,"abacero, ra",abacero,sust,1,0,0.0,0.0,146.0,a.ba.ˈθe.ɾo,0
00L4uMi,abacería,abacería,sust,1,2,3.0,,209.0,a.ba.θe.ˈɾi.a,0
00N5h3d,abacial,abacial,adj,1,0,92.0,0.16,906.0,a.ba.ˈθjal,1
00GxCz2,abacá,abacá,sust,3,4,6.0,0.03,287.0,a.ba.ˈka,0
00TuMgr,"abad, desa",abad,sust,7,13,1167.0,6.82,38382.0,a.ˈbad̪,3
00ZsOaq,abadejo,abadejo,sust,6,2,29.0,0.26,1249.0,a.ba.ˈd̪e.xo,1
00aqifO,"abadengo, ga",abadengo,"adj,sust",3,1,124.0,0.01,330.0,a.ba.ˈd̪en.go,0
00ei7Fm,abadernar,abadernar,verb,1,0,0.0,,1.0,a.ba.d̪eɾ.ˈnaɾ,0
00puPtm,abadiato,abadiato,sust,1,0,0.0,,46.0,a.ba.ˈd̪ja.t̪o,0
00k29Tl,abadía,abadía,sust,5,8,1565.0,3.7,19673.0,a.ba.ˈd̪i.a,3
00xrCPP,abajadero,abajadero,sust,1,0,0.0,,4.0,a.ba.xa.ˈd̪e.ɾo,0
013adxN,abajar,abajar,verb,2,108,51.0,0.02,463.0,a.ba.ˈxaɾ,1
017F2e2,"abajeño, ña",abajeño,adj,3,1,2.0,0.02,32.0,a.ba.ˈxe.ɲo,0
01DsKtW,abalanzar,abalanzar,verb,4,5,105.0,0.03,344.0,a.ba.lan.ˈθaɾ,1
01EKBWA,"abalaustrado, da",abalaustrado,adj,1,0,0.0,0.0,27.0,a.ba.laws.ˈt̪ɾa.d̪o,0
01Puf0h,abalizar,abalizar,verb,1,0,0.0,,11.0,a.ba.li.ˈθaɾ,0
01dsQAM,aballestar,aballestar,verb,1,0,0.0,,2.0,a.ba.ʝes.ˈt̪aɾ,0
01fIkDY,abalorio,abalorio,sust,4,3,37.0,0.02,814.0,a.ba.ˈlo.ɾjo,0
01i9LZE,abaluartar,abaluartar,verb,1,0,20.0,,1.0,a.ba.lwaɾ.ˈt̪aɾ,0
01lkWsK,abanar,abanar,verb,2,0,1.0,,112.0,a.ba.ˈnaɾ,0
01sgTE4,"abanderado, da",abanderado,sust,4,1,160.0,1.88,4330.0,a.ban.d̪e.ˈɾa.d̪o,2
01w0u32,abanderar,abanderar,verb,5,1,131.0,0.26,528.0,a.ban.d̪e.ˈɾaɾ,1
01wlJUD,abanderizar,abanderizar,verb,1,1,2.0,,6.0,a.ban.d̪e.ɾi.ˈθaɾ,0
01yUKz8,"abandonado, da",abandonado,adj,2,14,3.0,23.01,200860.0,a.ban.d̪o.ˈna.d̪o,3
01yxXv6,abandonar,abandonar,verb,10,77,17153.0,41.3,269966.0,a.ban.d̪o.ˈnaɾ,3
01zGcJh,abandonismo,abandonismo,sust,1,2,1.0,0.05,94.0,a.ban.d̪o.ˈnis.mo,0
01zZw2b,abandonista,abandonista,adj,2,0,1.0,0.02,68.0,a.ban.d̪o.ˈnis.t̪a,0
023UD0Z,abandono,abandono,sust,2,15,1786.0,24.67,144852.0,a.ban.ˈd̪o.no,3
023W9Bo,abanicar,abanicar,verb,4,26,18.0,0.17,519.0,a.ba.ni.ˈkaɾ,1
026BMN4,abanicazo,abanicazo,sust,1,0,0.0,0.0,28.0,a.ba.ni.ˈka.θo,0
026nuiv,abanico,abanico,sust,7,33,641.0,8.39,57149.0,a.ba.ˈni.ko,3
02LInQG,abaniqueo,abaniqueo,sust,1,0,1.0,0.03,59.0,a.ba.ni.ˈke.o,0
02Mzg5i,"abaniquero, ra",abaniquero,sust,1,0,0.0,,15.0,a.ba.ni.ˈke.ɾo,0
02LtDIC,abaniquería,abaniquería,sust,1,0,0.0,0.0,20.0,a.ba.ni.ke.ˈɾi.a,0
02OyN9R,"abanto, ta",abanto,"adj,sust",3,0,35.0,0.07,66.0,a.ˈban.t̪o,0
03SVLaE,abarse,abarse,verb,1,1,0.0,,23.0,a.ˈbaɾ.se,0
02RFj73,abaratar,abaratar,verb,1,1,117.0,1.72,3218.0,a.ba.ɾa.ˈt̪aɾ,2
